MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
True	conflation	22	0.5	1.0	0.6	1.0	0.9850267379679145	0.5705065359477125	0.9787767379679145	[1.0, 1.0, 0.9285714285714286, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[0.9803921568627451, 1.0, 0.9285714285714286, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	23	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.984659090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[0.9803921568627451, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	24	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	25	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	26	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	27	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	28	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	29	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	30	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
True	conflation	31	0.5	1.0	0.6	1.0	0.990909090909091	0.5705065359477125	0.990909090909091	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
