MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount
False	conflation	49	0.5	1.0	0.5384615384615384	1.0	0.9987181627732389	0.48557072381130295	0.998937942993019	[0.9986376021798365, 0.9990610328638497, 1.0, 0.9989082969432315, 0.9983818770226537, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 0.9983818770226537, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	0	0.5	0.5274725274725275	0.5384615384615384	0.6098901098901099	0.4639563271635583	0.48557072381130295	0.5267210443613213	[0.0, 0.8666666666666667, 0.8762886597938144, 0.07641921397379912, 0.6682847896440129, 0.007751937984496124, 0.8251572327044026]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.0, 0.8666666666666667, 0.843298969072165, 0.7368995633187773, 0.6682847896440129, 0.046511627906976744, 0.5106918238993711]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	1	0.5	0.6758241758241759	0.5384615384615384	0.7087912087912088	0.5777503522998079	0.48557072381130295	0.5908302327459373	[0.009536784741144414, 0.8666666666666667, 0.8288659793814434, 0.5393013100436681, 0.6682847896440129, 0.35917312661498707, 0.7710691823899372]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.009536784741144414, 0.8666666666666667, 0.843298969072165, 0.618995633187773, 0.6682847896440129, 0.3695090439276486, 0.7534591194968554]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	2	0.5	0.7142857142857143	0.5384615384615384	0.7142857142857143	0.6126969647567841	0.48557072381130295	0.6165718472885916	[0.04904632152588556, 0.8666666666666667, 0.911340206185567, 0.6069868995633187, 0.6682847896440129, 0.3695090439276486, 0.8364779874213837]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.05722070844686648, 0.8666666666666667, 0.9072164948453608, 0.6255458515283843, 0.6682847896440129, 0.3695090439276486, 0.8364779874213837]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	3	0.5	0.8021978021978022	0.5384615384615384	0.8021978021978022	0.6908606624118456	0.48557072381130295	0.6946418138443782	[0.4332425068119891, 0.8619718309859155, 0.9896907216494846, 0.5567685589519651, 0.6682847896440129, 0.4573643410852713, 0.8566037735849057]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.44550408719346046, 0.8619718309859155, 0.9896907216494846, 0.5753275109170306, 0.6682847896440129, 0.4599483204134367, 0.8528301886792453]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	4	0.5	0.8351648351648352	0.5384615384615384	0.8406593406593407	0.739598487460917	0.48557072381130295	0.7399223223066527	[0.9604904632152589, 0.7699530516431925, 0.8618556701030928, 0.6681222707423581, 0.6682847896440129, 0.27906976744186046, 0.9371069182389937]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9604904632152589, 0.7643192488262911, 0.8597938144329897, 0.6790393013100436, 0.6682847896440129, 0.27648578811369506, 0.9358490566037736]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	5	0.5	0.8791208791208791	0.5384615384615384	0.8846153846153846	0.7934128334199451	0.48557072381130295	0.7889386928250037	[0.9618528610354223, 0.8169014084507042, 0.9216494845360824, 0.7456331877729258, 0.6682847896440129, 0.4418604651162791, 0.9459119496855346]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9618528610354223, 0.812206572769953, 0.9134020618556701, 0.7489082969432315, 0.6682847896440129, 0.4418604651162791, 0.9157232704402516]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	6	0.5	0.8956043956043956	0.5384615384615384	0.8956043956043956	0.8189126722537967	0.48557072381130295	0.8155069410674054	[0.9359673024523161, 0.8347417840375587, 0.977319587628866, 0.7641921397379913, 0.6682847896440129, 0.5219638242894057, 0.9660377358490566]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9373297002724795, 0.828169014084507, 0.977319587628866, 0.7631004366812227, 0.6682847896440129, 0.524547803617571, 0.9534591194968554]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	7	0.5	0.8956043956043956	0.5384615384615384	0.8901098901098901	0.8203048554798813	0.48557072381130295	0.8200860565050433	[0.8092643051771117, 0.8544600938967136, 1.0, 0.7554585152838428, 0.7103559870550162, 0.5684754521963824, 0.9861635220125786]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.8256130790190735, 0.8497652582159625, 1.0, 0.7641921397379913, 0.6974110032362459, 0.5684754521963824, 0.9811320754716981]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	8	0.5	0.8956043956043956	0.5384615384615384	0.8956043956043956	0.8233116359913601	0.48557072381130295	0.819236357121757	[0.9768392370572208, 0.787793427230047, 0.9958762886597938, 0.8537117903930131, 0.7281553398058253, 0.49870801033591733, 0.9144654088050315]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9877384196185286, 0.7755868544600939, 0.9958762886597938, 0.8569868995633187, 0.7119741100323624, 0.49870801033591733, 0.9018867924528302]	[734, 1065, 485, 916, 618, 387, 795]
True	conflation	9	0.5	0.9560439560439561	0.5384615384615384	0.9505494505494505	0.8681815718229998	0.48557072381130295	0.8661854826223283	[0.8787465940054496, 0.8553990610328639, 0.9938144329896907, 0.8395196506550219, 0.7588996763754046, 0.7441860465116279, 0.9622641509433962]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.8841961852861036, 0.8525821596244132, 0.9938144329896907, 0.8471615720524017, 0.7475728155339806, 0.7416020671834626, 0.959748427672956]	[734, 1065, 485, 916, 618, 387, 795]
